composer,composer_dob,opera
"Goldschmidt, Berthold",(18.1.1903 Hamburg - 17.10.1996 London),Der gewaltige Hahnrei (14.2.1932 Mannheim)
"Goldschmidt, Berthold",(18.1.1903 Hamburg - 17.10.1996 London),Beatrice Cenci (1950; 16.4.1988 London QE*; 10.9.1994 Magdeburg)
"Goleminov, Marin",(28/9.9.1908 (OS?) Kyustendil - 19.2.2000 Espinho),Ivaylo (13.2.1959 Sofia)
"Goleminov, Marin",(28/9.9.1908 (OS?) Kyustendil - 19.2.2000 Espinho),Zlatnata ptica (20.12.1961 Sofia)
"Goleminov, Marin",(28/9.9.1908 (OS?) Kyustendil - 19.2.2000 Espinho),Zografat Zakharii (17.10.1972 Sofia)
"Goleminov, Marin",(28/9.9.1908 (OS?) Kyustendil - 19.2.2000 Espinho),Thrakiiski idoli (1981 Stara Zagora)
"Golishev, Efim [Jef]",(20.9.1897 Kherson - 25.9.1970 Paris),Cyrano de Bergerac (1916)
"Golishev, Efim [Jef]",(20.9.1897 Kherson - 25.9.1970 Paris),+1
"Gollmick, Adolf",(5.2.1825 Frankfurt am Main - 7.3.1883 London),Dona Constanza ()
"Gollmick, Adolf",(5.2.1825 Frankfurt am Main - 7.3.1883 London),The Oracle ()
"Gollmick, Adolf",(5.2.1825 Frankfurt am Main - 7.3.1883 London),Balthasar ()
"Gollmick, Adolf",(5.2.1825 Frankfurt am Main - 7.3.1883 London),The Blind Beggar's Daughter of Bethnal Green ()
"Gollmick, Adolf",(5.2.1825 Frankfurt am Main - 7.3.1883 London),The Heir of Lynne ()
"Golovanov, Nikolay (Semyonovich)",(21.1.1891 Moskva - 28.8.1953 Moskva),Princess Yurata ()
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),A noite do castelo (4.9.1861 Rio de Janeiro)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Joana de Flandres (15.9.1863 Rio de Janeiro)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Se sa minga (1867 Milano)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Nella luna (1868 Milano)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Il Guarany (19.3.1870 Milano S)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Telegrapho elettrico ()
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Fosca (16.2.1873 Milano S)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Salvator Rosa (21.3.1874 Genova)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Fosca [rev] (1878 Milano S)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Maria Tudor (27.3.1879 Milano S)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Lo schiavo (27.9.1889 Rio de Janeiro)
"Gomes, (Antônio) Carlos",(11.7.1836 Campinas - 16.9.1896 Belém),Condor (21.2.1891 Milano S)
"Gomes de Araújo, João",(5.8.1846 Pindamonhangaba - 8.9.1942 São Paolo),Edmea ()
"Gomes de Araújo, João",(5.8.1846 Pindamonhangaba - 8.9.1942 São Paolo),Carminosa (1888 Milano)
"Gomes de Araújo, João",(5.8.1846 Pindamonhangaba - 8.9.1942 São Paolo),Maria Petrowna (1904; 1929 São Paolo)
"Gomes de Araújo, João",(5.8.1846 Pindamonhangaba - 8.9.1942 São Paolo),Helena (1910 São Paolo)
"Gómez García, Domingo Julio",(20.12.1886 Madrid - 22.12.1973 Madrid),Himno al amor (1917)
"Gómez García, Domingo Julio",(20.12.1886 Madrid - 22.12.1973 Madrid),Los dengues (1927)
"Gómez García, Domingo Julio",(20.12.1886 Madrid - 22.12.1973 Madrid),El pilar de la victoria (1944)
"Gómez García, Domingo Julio",(20.12.1886 Madrid - 22.12.1973 Madrid),Mar de invierno (1956; np)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",La aldeana (1822 Madrid)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Aben-Humeya (22.7.1830 Paris)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Le Diable à Seville (29.6.1831 Paris)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Le Revenant (31.12.1833 Paris)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Le Portefaix (16.6.1835 Paris)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Rock le barbu (13.5.1836 Paris)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Le Comte Julien ( inc)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",La Damnée ( inc)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Léonore ( inc)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Botany-Bay ( inc)
"Gomis y Colomer, José Melchor","(6.1.1791 Ontoniente, c. Valencia - 26.7.1836 Paris)",Le Favori ( inc)
"Goodman [Guttmann], Alfred (Grant)",(1.3.1920 Berlin - 14.8.1999 Berlin),"The Audition (27.7.1954 Athens, Ohio)"
"Goodman [Guttmann], Alfred (Grant)",(1.3.1920 Berlin - 14.8.1999 Berlin),Der Läufer (1969)
"Goodman [Guttmann], Alfred (Grant)",(1.3.1920 Berlin - 14.8.1999 Berlin),The Lady and the Maid (1984)
"Goosens,",Sir,Judith (1925; 25.6.1929 London CG)
"Goosens,",Sir,Don Juan de Mañara (24.6.1937 London CG)
"Gordigiani, Giovanni Battista",(7.1795 Modena - 2.3.1871 Praha),Pygmalione (1845 Praha)
"Gordigiani, Giovanni Battista",(7.1795 Modena - 2.3.1871 Praha),Consuelo (1846 Praha)
"Gordigiani, Giovanni Battista",(7.1795 Modena - 2.3.1871 Praha),Loscrivano pubblico (1850 Praha)
"Gordigiani, Giovanni Battista",(7.1795 Modena - 2.3.1871 Praha),+?
"Gordigiani, Luigi",(21.6.1806 Modena - 1.5.1860 Firenze),+10
"Goss,",Sir,The Sejeant's Wife (24.7.1827 London L)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Le Perigourdin (7.6.1761 Paris)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Le Tonnelier (16.3.1765 Paris CI)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Le Faux lord (27.6.1765 Paris CI)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Les Pêcheurs (23.4.1766 Paris CI)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Toinon et Toinette (20.6.1767 Paris CI)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Le Double déguisement (28.9.1767 Paris CI)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Les Agréments d'Hylas et Sylvie (10.12.1768 Paris CF)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Sabinus (4.12.1773 Versailles)
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)",Sabinus [rev] ()
"Gossec, François-Joseph","(17.1.1734 Vergnies, Hainaut - 16.2.1829 Passy, Paris)","Berthe (18.1.1775 Bruxelles) [+ F.-A. Philidor, Vitzthumb, Botson?] [lost]"
