composer,composer_dob,opera
"Aav, Evald",(7.3.1900 Reval - 21.3.1939 Tallinn),Vikerlased (8.9.1928 Tallinn)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Isabella Spinola (1877 Milano)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Maria di Warden (1884 Milano)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Una partita a scacchi (1892 Pavia)
"Abbadia, Natale",(11.3.1792 Genova - 25.12.1861 Milano),Giannina di Pontieu (1812)
"Abbadia, Natale",(11.3.1792 Genova - 25.12.1861 Milano),L'imbroglione ed il castigamatti ()
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)","Dal male il bene (1653 Roma, P Barbieri) [+ M. Marazzoli]"
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)",Ione (1664 Wien H)
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)","La comica del cielo, overo La Baltasara (1668 Roma, P Rospigliosi)"
"Abeille, (Johann Christian) Ludwig",(20.2.1761 Bayreuth - 2.3.1838 Stuttgart),Amor und Psyche (1800 Stuttgart)
"Abeille, (Johann Christian) Ludwig",(20.2.1761 Bayreuth - 2.3.1838 Stuttgart),Peter und Ännchen (1809 Stuttgart)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Anna von Landskron (1858)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),König Enzio (1862)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Astorga (27.5.1866 Stuttgart)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Ekkehard (11.10.1878 Berlin)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Le due zingare simili (spr.1742 Napoli N)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Il geloso (spr.1743 Napoli F)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Le furbiere di Spilletto (carn.1744 Firenze Coc)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),La serva padrona (1744 Napoli)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),La moglie gelosa (carn.1745 Napoli F)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Ifigenia in Aulide (carn.1745 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Artaserse (carn.1746 Venezia SGG)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Pelopida (carn.1747 Roma A)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Alessandro nelle Indie (7.1747 Ancona)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Arianna e Teseo (26.12.1748 Roma D)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Adriano in Siria (1750 Roma A)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Tito Manlio (30.5.1751 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Erifile (carn.1752 Roma D)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Lucio Vero o sia Il vologeso (18.12.1752 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Medo (carn.1753 Torino TR)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Andromeda ()
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Ezio ()
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Demofoonte ()
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Viktoria und ihr Husar (23.12.1930 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Die Blume von Hawaii (24.7.1931 Leipzig)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Ball im Savoy (23.12.1932 Berlin)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Märchen im Grand-Hotel (1934 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Dschainah (1935 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Roxy und ihr Wunderteam (1937 Wien)
"Abramsky, Alexander",(22.1.1898 Lutsk - 29.8.1985),+1
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A ködkirály (17.5.1903 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Monna Vanna (2.3.1907 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Paolo és Francesca (13.1.1912 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Don Quijote (30.11.1917 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Ave Maria: Májusi intermezzo (25.2.1922 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A vak katona (11.6.1923 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Ay éneklö dervis (1937; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Liliomos herceg (1938; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Bizánc (1942; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Éva boszorkány (1944; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Balatoni rege (1945; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A Tamás-templom karnagya (1947; np)
"Absil, Jean","(23.10.1893 Bonsecours, Hainaut - 2.2.1974 Uccle, Bruxelles)",Les voix de la mer (26.3.1954 Bruxelles)
"Abt, Franz (Wilhelm)",(22.12.1819 Eilenburg - 31.3.1885 Wiesbaden),Des Königs Scharfschütz (1873)
"Abt, Franz (Wilhelm)",(22.12.1819 Eilenburg - 31.3.1885 Wiesbaden),Die Hauptprobe ()
"Abt, Franz (Wilhelm)",(22.12.1819 Eilenburg - 31.3.1885 Wiesbaden),Reisebekanntschaften ()
"Acciaiuoli, Filippo",(1637 Roma - 8.2.1700 Roma),Chi è cagion del suo mal pianga se stesso (1682 Roma)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Le scaltre contadine di Montegelato (2.1.1768)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Le contadine astute (8.1.1770 Roma T)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),L'amante nel sacco (2.1.1772 Roma T)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Le finte zingarelle (31.1.1774 Roma T)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Nitteti (carn.1777 Firenze Pa)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Il finto cavaliere (carn.1777 Roma P) [Das Herbstabentheuer]
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),L'amor artigiano (7.1.1778 Roma T)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Le virtuose bizzarre (29.12.1778 Roma T)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Il marchese di Castelverde (carn.1779 Roma D)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),"Il podestà di Tufo antico, o sia Il tutore burlato (sum.1780 Roma V)"
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),"Lo schiavo fortunato, o sia La marchesina fedele (carn.1783 Roma P)"
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Il regno delle Amazzoni (27.12.1783 Parma)
"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",(28.8.1739 Roma - 13.8.1818 Roma),Il governatore delle Isole Canarie (carn.1785 Roma V)
"Aceves y Lozano, Rafael","(20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)",El puñal de misericordia (1869) [+ Llanos]
"Aceves y Lozano, Rafael","(20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)",Sensitiva (1870)
"Aceves y Lozano, Rafael","(20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)","El testamento azul () [+ Barbieri, Oudrid]"
"Aceves y Lozano, Rafael","(20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)",El trono de Escocia () [+ Caballero]
"Aceves y Lozano, Rafael","(20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)",+?
"Acton, Carlo [Charles]",(25.8.1829 Napoli - 2.2.1909 Portici),Una cena in convitto ()
"Acton, Carlo [Charles]",(25.8.1829 Napoli - 2.2.1909 Portici),+?
"Adalid y Gurréa, Marcial del","(24.8.1826 La Coruña - 16.10.1881 Lóngora, c. La Coruña)",Inese e Bianca (np)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Le Mal du pays, ou La Batelière de Brientz (28.12.1827 Paris Gym)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Pierre et Catherine (9.2.1829 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Danilowa (23.4.1830 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Trois jours en une heure (21.8.1830 Paris OC) [+ Romagnesi]
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Joséphine, ou Le Retour de Wagram (2.12.1830 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Morceau d'ensemble (7.3.1831 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Le Grand prix, ou Le Voyage à frais communs (9.7.1831 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Casimir, ou Le Premier tête-à-tête (1.12.1831 Paris N)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),His First Campaign (1.10.1832 London CG)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),The Dark Diamond (5.11.1832 London CG)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Le Proscrit, ou Le Tribunal invisible (18.9.1833 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Une Bonne fortune (28.1.1834 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Châlet (25.9.1834 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),La Marquise (28.2.1835 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Micheline, ou L'Heure d'esprit (29.6.1835 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Postillon de Lonjumeau (13.10.1836 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Fidèle berger (6.1.1838 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Brasseur de Preston (31.10.1838 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Régine, ou Les Deux nuits (17.1.1839 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),La Reine d'un jour (19.9.1839 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Brasseur de Preston (31.10.1839 Paris)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),La Rose de Péronne (12.12.1840 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"La Main de fer, ou Le Mariage secret (26.10.1841 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Roi d'Yvetot (3.10.1842 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Lambert Simnel (14.9.1843 Paris OC) [+ Monpou]
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Cagliostro (10.2.1844 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Richard en Palestine (7.10.1844 Paris O)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),La Bouquetière (31.5.1847 Paris O)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Les Premiers pas (15.11.1847 Paris ON) [+ Auber, Carafa, Halévy]"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Le Toréador, ou L'Accord parfait (18.5.1849 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Fanal (24.12.1849 Paris O)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Giralda, ou La Nouvelle Psyché (20.7.1850 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),La Poupée de Nuremberg (21.2.1852 Paris ON)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Farfalet (19.3.1852 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Si j'étais roi (4.9.1852 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),"Le Sourd, ou L'Auberge pleine (2.2.1853 Paris OC)"
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Roi des halles (11.4.1853 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Bijou perdu (6.10.1853 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Muletier de Tolède (16.12.1854 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),À Clichy (24.12.1854 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Le Houzard de Berchini (17.10.1855 Paris OC)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Falstaff (18.1.1856 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Mam'zelle Geneviève (24.3.1856 Paris TL)
"Adam, Adolphe(-Charles)",(24.7.1803 Paris - 3.5.1856 Paris),Les Pantins de Violette (29.4.1856 Paris BP)
"Ádám, Jenö",(12.12.1896 Szigetszentmiklós - 15.5.1982 Budapest),Magyar karácsony (22.12.1931 Budapest)
"Ádám, Jenö",(12.12.1896 Szigetszentmiklós - 15.5.1982 Budapest),Mária Veronika (27.10.1938 Budapest)
"Adamo, Mark",(1962 Philadelphia),Little Women (13.3.1998 Houston)
"Adamo, Mark",(1962 Philadelphia),"Lysistrata, or The Nude Goddess (2002)"
"Adams, John (Coolidge)","(15.2.1947 Worcester, Mass.)",Nixon in China (22.10.1987 Houston)
"Adams, John (Coolidge)","(15.2.1947 Worcester, Mass.)",The Death of Klinghoffer (19.3.1991 Brussel)
"Adams, John (Coolidge)","(15.2.1947 Worcester, Mass.)",I Was Looking at the Ceiling and Then I Saw the Sky (11.5.1995 Berkeley)
"Adams, John (Coolidge)","(15.2.1947 Worcester, Mass.)",Doctor Atomic (1.10.2005 San Francisco)
"Adams, (Harrison) Leslie",(30.12.1932 Cleveland),Blake (1986; 24.10.1997 Baltimore)
"Adaskin, Murray",(28.3.1906 Toronto - 6.5.2002 Victoria),"Grant, Warden of the Plains (18.7.1967 Winnipeg)"
"Addison, John",(c.1766 London - 30.1.1844 London),"False Alarms, or My Cousin (12.1.1807 London DL) [+ Braham, King]"
"Addison, John",(c.1766 London - 30.1.1844 London),"The Russian Imposter, or The Siege of Smolensko (22.7.1809 London L)"
"Addison, John",(c.1766 London - 30.1.1844 London),My Aunt (1.8.1815 London L)
"Addison, John",(c.1766 London - 30.1.1844 London),"Bobinet the Bandit, or The Forest of Monte-Scarpini (4.12.1815 London CG)"
"Addison, John",(c.1766 London - 30.1.1844 London),Free and Easy (16.9.1816 London L)
"Addison, John",(c.1766 London - 30.1.1844 London),My Uncle (23.6.1817 London L)
"Adelburg, August","Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)",Zrinyi (23.6.1868 Pest)
"Adelburg, August","Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)",Martinuzzi (1870 Buda)
"Adelburg, August","Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)",Wallenstein ()
"Adler, Samuel (Hans)",(4.3.1928 Mannheim),"The Outcasts of Poker Flat (8.6.1962 Denton, Tex.)"
"Adler, Samuel (Hans)",(4.3.1928 Mannheim),The Wrestler (22.6.1972 Dallas)
"Adler, Samuel (Hans)",(4.3.1928 Mannheim),The Lodge of Shadows (1973)
"Adler, Samuel (Hans)",(4.3.1928 Mannheim),The Disappointment (7.4.1976 Washington)
"Adlgasser, Anton Cajetan","(1.10.1729 Inzell, Oberbayern - 22.12.1777 Salzburg)",La Nitteti (1766 Salzburg)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Artaserse (carn.1741 Verona)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),La pace fra la virtù e la bellezza (1.1.1746 Modena)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Didone abbandonata (carn.1747 Venezia S.Girolamo)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Arianna (win.1750 Genova)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Adriano in Siria (aut.1751 Genova)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),La gloria e il piacere (carn.1751 Genova)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Vologeso (carn.1752 Genova)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Ipermestra (carn.1752 Modena)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),La clemenza di Tito (15.10.1753 Wien B)
"Adolfati, Andrea",(1721-22 Venezia - 28.10.1760 Padova),Sesostri re d'Egitto (carn.1755 Genova)
"Adomián, Lan",(29.4.1905 c. Mogilev - 9.5.1979 México),La Macherata (1972)
"Adrien, Ferdinand",(c.1770 ? - c.1830 ?),Le Fou ou La Révolution (3.12.1829 Antwerpen) [?]
"Adrien, J.",(c.1768 ? - c.1824 ?),Le Fou ou La Révolution (3.12.1829 Antwerpen) [?]
"Aeschbacher, Niklaus","(30.4.1917 Trogen, Appenzell)",Die roten Schuhe (1943)
"Afanas'yev, Nikolay Yakovlevich",(12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg),Ammalet-bek (12.5.1870 St. Peterburg M)
"Afanas'yev, Nikolay Yakovlevich",(12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg),Kuznets Vakula (1875; np)
"Afanas'yev, Nikolay Yakovlevich",(12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg),Taras Bul'ba (np)
"Afanas'yev, Nikolay Yakovlevich",(12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg),Sten'ka Razin (np)
"Afanas'yev, Nikolay Yakovlevich",(12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg),+5
"Agazzari, Agostino",(2.12.1578 Siena - 10.4.1640 Siena),Eumelio (1606 Roma)
"Aggházy, Károly",(30.10.1855 Pest - 8.10.1918 Budapest),+2
"Agnelli [Agnello], Salvatore",(1817 Palermo - 1874 Marseilles),I due pedanti (1837 Napoli Fo)
"Agnelli [Agnello], Salvatore",(1817 Palermo - 1874 Marseilles),La jacquerie (1849 Marseilles)
"Agnelli [Agnello], Salvatore",(1817 Palermo - 1874 Marseilles),Léonore de Médicis (1855 Marseilles)
"Agnelli [Agnello], Salvatore",(1817 Palermo - 1874 Marseilles),Cromwell ()
"Agnelli [Agnello], Salvatore",(1817 Palermo - 1874 Marseilles),+9
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Il ristoro d'Arcadia (1747 Milano D) [La gara del genio germanico col genio d'Italia] ?
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Ciro in Armenia (26.12.1753 Milano D)
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Sofonisba (1765 Napoli)
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Insubria consolata (1766 Milano D)
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Nitocri (1771 Venezia)
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Ulisse in Campania ()
"Agnesi, Maria Teresa",(17.10.1720 Milano - 19.1.1795 Milano),Il re pastore ()
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),Iovo e Maria (1896)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),Il Cavaliere del Sogno (24.2.1897 Fano)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),La penna d'Airone (1896)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),Alcibiade (1902)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),America (1904) [Hail Columbia]
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),L'ombra (1907)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),L'agnello del sogno (1928)
"Agostini, Mezio",(12.8.1875 Fano - 22.4.1944 Fano),La figlia del navarco (3.9.1938 Fano)
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),Il Tolomeo (1658 Venezia) [lost]
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),"La regina Floridea (1669? Milano D) [Floridea] [+ Rossi, Busca] [lost]"
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),"Ippolita, reina delle Amazoni (1670 Milano D) [+ Busca, P.A. Ziani] [lost]"
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),Eliogabolo (28.1.1670 Genova) [lost]
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),La costanza di Rosmonda (1670 Genova) [lost]
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),"Gl'inganni innocente, ovvero L'Adalinda (1673 Ariccia, c. Roma)"
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),Gl'inganni innocente [rev] (1675 Bologna)
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),Gl'inganni innocente [rev] (1679 Milano D)
"Agostini [Augustini], Pietro Simone [Piersimone]",(c.1635 Forli - 1.10.1680 Parma),Il ratto delle Sabine (12.1680 Venezia SGG)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Il filosofo convinto in amore (1750 Potsdam)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",La ricamatrice divenuta dama (1.11.1751 Berlin) [lost]
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Cleofide (carn.1754 Berlin)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",La nobiltà delusa (1754)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Il tempio d'amore (30.9.1755 Charlottenburg)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Achille in Sciro (16.9.1765 Berlin?)
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Amor e Psiche (10.1767 Berlin?) [lost]
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Il re pastore (9/10 1770? Berlin?) [lost]
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",Oreste e Pilade (1772 Berlin?) [lost]
"Agricola, Johann Friedrich","(4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)",I greci in Tauride (3.1772 Potsdam) [rev. Oreste e Pilade] [lost]
"Agricola, Johann Paul","(1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)",Streit der Schönheit und der Tugend (1679 Neuburg)
"Agricola, Johann Paul","(1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)","Die beneidete, jedoch nicht beleidigte Liebe, abgebildet in einem poetischen Sinngedichte von dem Schäfer Damon und der Nymphe Melisse (carn.1679 Neuburg)"
"Agricola, Johann Paul","(1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)","Die gesuchte, verlorene, und endlich wiedergefundene Freiheit in der Begebnis zweier Sicilianischer Princessinnen Salibene und Rosimene (1679 Neuburg)"
"Agthe, Carl Christian",(16.6.1762 Hettstedt - 27.11.1797 Ballenstedt),Martin Velten (1778 Reval)
