name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Dittrich Paul-Heinz,1930,,Germany,Male,Dittrich Paul-Heinz,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dittrich Paul-Heinz', 1930, 'Germany', 'Male', 'Dittrich Paul-Heinz')",#VALUE!,Dittrich,Paul-Heinz,,"Dittrich, Paul-Heinz"
Dobrzynski,1980,,Poland,Male,Dobrzynski Ignacy Feliks,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dobrzynski', 1980, 'Poland', 'Male', 'Dobrzynski Ignacy Feliks')",#VALUE!,Dobrzynski,Ignacy,Feliks,"Dobrzynski, Ignacy Feliks"
Doderer,1969,,Austria,Female,Doderer,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Doderer', 1969, 'Austria', 'Female', 'Doderer')",#VALUE!,Doderer,,,"Doderer, "
Dogru,1971,,Turkey,Male,Dogru,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dogru', 1971, 'Turkey', 'Male', 'Dogru')",#VALUE!,Dogru,,,"Dogru, "
Dohnanyi Ernő,1877,1960,Hungary,Male,Dohnanyi Ernő,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Dohnanyi Ernő', 1877, 1960, 'Hungary', 'Male', 'Dohnanyi Ernő')",#VALUE!,Dohnanyi,Ernő,,"Dohnanyi, Ernő"
Donatoni Franco,1927,2000,Italy,Male,Donatoni Franco,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Donatoni Franco', 1927, 2000, 'Italy', 'Male', 'Donatoni Franco')",#VALUE!,Donatoni,Franco,,"Donatoni, Franco"
Donizetti,1797,1848,Italy,Male,Donizetti Gaetano,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Donizetti', 1797, 1848, 'Italy', 'Male', 'Donizetti Gaetano')",#VALUE!,Donizetti,Gaetano,,"Donizetti, Gaetano"
Dorman,1975,,Israel,Male,Dorman,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dorman', 1975, 'Israel', 'Male', 'Dorman')",#VALUE!,Dorman,,,"Dorman, "
Dorsch,1968,,Germany,Male,Dorsch,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dorsch', 1968, 'Germany', 'Male', 'Dorsch')",#VALUE!,Dorsch,,,"Dorsch, "
Dosenko,,,Ukraine,Male,Dosenko,"insert into composers (name, place_of_birth, gender, other_names) values ('Dosenko', 'Ukraine', 'Male', 'Dosenko')",#VALUE!,Dosenko,,,"Dosenko, "
Dostal,1895,1981,Austria,Male,Dostal Nico,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Dostal', 1895, 1981, 'Austria', 'Male', 'Dostal Nico')",#VALUE!,Dostal,Nico,,"Dostal, Nico"
Dove,1959,,United Kingdom,Male,Dove,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dove', 1959, 'United Kingdom', 'Male', 'Dove')",#VALUE!,Dove,,,"Dove, "
Du,1977,,China,Female,Du,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Du', 1977, 'China', 'Female', 'Du')",#VALUE!,Du,,,"Du, "
Dubois,1837,1924,France,Male,Dubois L√©on,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Dubois', 1837, 1924, 'France', 'Male', 'Dubois L√©on')",#VALUE!,Dubois,L√©on,,"Dubois, L√©on"
Dubovsky,1940,,Slovakia,Male,Dubovsky,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dubovsky', 1940, 'Slovakia', 'Male', 'Dubovsky')",#VALUE!,Dubovsky,,,"Dubovsky, "
Duchnowski,1971,,Poland,Male,Duchnowski,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Duchnowski', 1971, 'Poland', 'Male', 'Duchnowski')",#VALUE!,Duchnowski,,,"Duchnowski, "
Duit,1957,,Germany,Male,Duit,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Duit', 1957, 'Germany', 'Male', 'Duit')",#VALUE!,Duit,,,"Duit, "
Dukas,1865,1935,France,Male,Dukas Paul ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Dukas', 1865, 1935, 'France', 'Male', 'Dukas Paul ')",#VALUE!,Dukas,Paul,,"Dukas, Paul"
DunayevskyI,1900,1955,Russian Federation,Male,DunayevskyI,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('DunayevskyI', 1900, 1955, 'Russian Federation', 'Male', 'DunayevskyI')",#VALUE!,DunayevskyI,,,"DunayevskyI, "
DunayevskyM,1945,,Russian Federation,Male,DunayevskyM,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('DunayevskyM', 1945, 'Russian Federation', 'Male', 'DunayevskyM')",#VALUE!,DunayevskyM,,,"DunayevskyM, "
Dupin,1954,,France,Male,Dupin Paul,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dupin', 1954, 'France', 'Male', 'Dupin Paul')",#VALUE!,Dupin,Paul,,"Dupin, Paul"
Duron,1660,1716,Spain,Male,Duron,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Duron', 1660, 1716, 'Spain', 'Male', 'Duron')",#VALUE!,Duron,,,"Duron, "
Dusapin,1955,,France,Male,Dusapin,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dusapin', 1955, 'France', 'Male', 'Dusapin')",#VALUE!,Dusapin,,,"Dusapin, "
Dusik,1907,1988,Slovakia,Male,Dusik,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Dusik', 1907, 1988, 'Slovakia', 'Male', 'Dusik')",#VALUE!,Dusik,,,"Dusik, "
DvorakA,1841,1904,Czech Republic,Male,DvorakA,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('DvorakA', 1841, 1904, 'Czech Republic', 'Male', 'DvorakA')",#VALUE!,DvorakA,,,"DvorakA, "
Dzenitis,1978,,Latvia,Male,Dzenitis,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Dzenitis', 1978, 'Latvia', 'Male', 'Dzenitis')",#VALUE!,Dzenitis,,,"Dzenitis, "
Eggert,1965,,Germany,Male,Eggert,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Eggert', 1965, 'Germany', 'Male', 'Eggert')",#VALUE!,Eggert,,,"Eggert, "
Egk,1901,1983,Germany,Male,Egk,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Egk', 1901, 1983, 'Germany', 'Male', 'Egk')",#VALUE!,Egk,,,"Egk, "
Ehrenberg,1873,1923,Russian Federation,Male,Ehrenberg Carl ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Ehrenberg', 1873, 1923, 'Russian Federation', 'Male', 'Ehrenberg Carl ')",#VALUE!,Ehrenberg,Carl,,"Ehrenberg, Carl"
Ehrenfellner,1975,,Austria,Male,Ehrenfellner,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ehrenfellner', 1975, 'Austria', 'Male', 'Ehrenfellner')",#VALUE!,Ehrenfellner,,,"Ehrenfellner, "
Eichberg,1973,,Germany,Male,Eichberg Julius,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Eichberg', 1973, 'Germany', 'Male', 'Eichberg Julius')",#VALUE!,Eichberg,Julius,,"Eichberg, Julius"
Eichmann,1966,,Germany,Male,Eichmann,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Eichmann', 1966, 'Germany', 'Male', 'Eichmann')",#VALUE!,Eichmann,,,"Eichmann, "
Einem,1918,1996,Austria,Male,Einem Gottfried von,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Einem', 1918, 1996, 'Austria', 'Male', 'Einem Gottfried von')",#VALUE!,Einem,Gottfried,von,"Einem, Gottfried von"
Eiriksdottir,1951,,Iceland,Female,Eiriksdottir,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Eiriksdottir', 1951, 'Iceland', 'Female', 'Eiriksdottir')",#VALUE!,Eiriksdottir,,,"Eiriksdottir, "
Eisemann,1898,1966,Hungary,Male,Eisemann,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Eisemann', 1898, 1966, 'Hungary', 'Male', 'Eisemann')",#VALUE!,Eisemann,,,"Eisemann, "
Elgar,1857,1934,United Kingdom,Male,Elgar0,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Elgar', 1857, 1934, 'United Kingdom', 'Male', 'Elgar0')",#VALUE!,Elgar0,,,"Elgar0, "
Elkus,1931,,United States of America,Male,Elkus Jonathan ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Elkus', 1931, 'United States of America', 'Male', 'Elkus Jonathan ')",#VALUE!,Elkus,Jonathan,,"Elkus, Jonathan"
Ellington,1899,1974,United States of America,Male,Ellington ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Ellington', 1899, 1974, 'United States of America', 'Male', 'Ellington ')",#VALUE!,Ellington,,,"Ellington, "
Enescu,1881,1955,Romania,Male,Enescu,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Enescu', 1881, 1955, 'Romania', 'Male', 'Enescu')",#VALUE!,Enescu,,,"Enescu, "
Eotvos,1944,,Hungary,Male,Eotvos,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Eotvos', 1944, 'Hungary', 'Male', 'Eotvos')",#VALUE!,Eotvos,,,"Eotvos, "
Erkel,1810,1893,Hungary,Male,Erkel Elek,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Erkel', 1810, 1893, 'Hungary', 'Male', 'Erkel Elek')",#VALUE!,Erkel,Elek,,"Erkel, Elek"
Escaich,1975,,France,Male,Escaich,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Escaich', 1975, 'France', 'Male', 'Escaich')",#VALUE!,Escaich,,,"Escaich, "
Esenvalds,1977,,Latvia,Male,Esenvalds,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Esenvalds', 1977, 'Latvia', 'Male', 'Esenvalds')",#VALUE!,Esenvalds,,,"Esenvalds, "
Eslava,1807,1878,Spain,Male,Eslava,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Eslava', 1807, 1878, 'Spain', 'Male', 'Eslava')",#VALUE!,Eslava,,,"Eslava, "
Essyad,1938,,France,Male,Essyad,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Essyad', 1938, 'France', 'Male', 'Essyad')",#VALUE!,Essyad,,,"Essyad, "
Estacio,1966,,Canada,Male,Estacio,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Estacio', 1966, 'Canada', 'Male', 'Estacio')",#VALUE!,Estacio,,,"Estacio, "
Evers,1985,,Netherlands,Male,Evers,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Evers', 1985, 'Netherlands', 'Male', 'Evers')",#VALUE!,Evers,,,"Evers, "
Eysler,1874,1949,Austria,Male,Eysler,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Eysler', 1874, 1949, 'Austria', 'Male', 'Eysler')",#VALUE!,Eysler,,,"Eysler, "
Faccio,1840,1891,Italy,Male,Faccio Franco ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Faccio', 1840, 1891, 'Italy', 'Male', 'Faccio Franco ')",#VALUE!,Faccio,Franco,,"Faccio, Franco"
Fagin,1951,,United States of America,Male,Fagin,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fagin', 1951, 'United States of America', 'Male', 'Fagin')",#VALUE!,Fagin,,,"Fagin, "
Fairouz,1985,,United States of America,Male,Fairouz,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fairouz', 1985, 'United States of America', 'Male', 'Fairouz')",#VALUE!,Fairouz,,,"Fairouz, "
Falvetti,1642,1692,Italy,Male,Falvetti,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Falvetti', 1642, 1692, 'Italy', 'Male', 'Falvetti')",#VALUE!,Falvetti,,,"Falvetti, "
Farkas,1905,2000,Hungary,Male,Farkas Ferenc,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Farkas', 1905, 2000, 'Hungary', 'Male', 'Farkas Ferenc')",#VALUE!,Farkas,Ferenc,,"Farkas, Ferenc"
Farr Gareth,1968,,New Zealand,Male,Farr Gareth,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Farr Gareth', 1968, 'New Zealand', 'Male', 'Farr Gareth')",#VALUE!,Farr,Gareth,,"Farr, Gareth"
Faure,1845,1924,France,Male,Faure,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Faure', 1845, 1924, 'France', 'Male', 'Faure')",#VALUE!,Faure,,,"Faure, "
Fayt,1946,,France,Male,Fayt,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fayt', 1946, 'France', 'Male', 'Fayt')",#VALUE!,Fayt,,,"Fayt, "
Feldhandler,1962,,France,Male,Feldhandler,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Feldhandler', 1962, 'France', 'Male', 'Feldhandler')",#VALUE!,Feldhandler,,,"Feldhandler, "
Feldman,1926,1987,United States of America,Male,Feldman Morton,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Feldman', 1926, 1987, 'United States of America', 'Male', 'Feldman Morton')",#VALUE!,Feldman,Morton,,"Feldman, Morton"
Felsenfeld,1970,,United States of America,Male,Felsenfeld,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Felsenfeld', 1970, 'United States of America', 'Male', 'Felsenfeld')",#VALUE!,Felsenfeld,,,"Felsenfeld, "
Fenelon,1952,,France,Male,Fenelon,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fenelon', 1952, 'France', 'Male', 'Fenelon')",#VALUE!,Fenelon,,,"Fenelon, "
Fennessy,1976,,Ireland,Male,Fennessy,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fennessy', 1976, 'Ireland', 'Male', 'Fennessy')",#VALUE!,Fennessy,,,"Fennessy, "
Feo,1691,1761,Italy,Male,Feo Francesco,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Feo', 1691, 1761, 'Italy', 'Male', 'Feo Francesco')",#VALUE!,Feo,Francesco,,"Feo, Francesco"
Fernandez Guerra,1952,,Spain,Male,Fernandez Guerra,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fernandez Guerra', 1952, 'Spain', 'Male', 'Fernandez Guerra')",#VALUE!,Fernandez,Guerra,,"Fernandez, Guerra"
Ferrero,1951,,Italy,Male,Ferrero Lorenzo,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ferrero', 1951, 'Italy', 'Male', 'Ferrero Lorenzo')",#VALUE!,Ferrero,Lorenzo,,"Ferrero, Lorenzo"
Fibich,1850,1910,Czech Republic,Male,Fibich Zdenek ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Fibich', 1850, 1910, 'Czech Republic', 'Male', 'Fibich Zdenek ')",#VALUE!,Fibich,Zdenek,,"Fibich, Zdenek"
Filidei,1973,,Italy,Male,Filidei,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Filidei', 1973, 'Italy', 'Male', 'Filidei')",#VALUE!,Filidei,,,"Filidei, "
FinziA,1897,1945,Italy,Male,FinziA,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('FinziA', 1897, 1945, 'Italy', 'Male', 'FinziA')",#VALUE!,FinziA,,,"FinziA, "
Fioravanti,1764,1837,Italy,Male,Fioravanti Valentino,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Fioravanti', 1764, 1837, 'Italy', 'Male', 'Fioravanti Valentino')",#VALUE!,Fioravanti,Valentino,,"Fioravanti, Valentino"
FischerE,1900,1975,Germany,Male,FischerE,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('FischerE', 1900, 1975, 'Germany', 'Male', 'FischerE')",#VALUE!,FischerE,,,"FischerE, "
Fister,1972,,Germany,Male,Fister,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fister', 1972, 'Germany', 'Male', 'Fister')",#VALUE!,Fister,,,"Fister, "
Fiszbein,1977,,Argentina,Male,Fiszbein,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fiszbein', 1977, 'Argentina', 'Male', 'Fiszbein')",#VALUE!,Fiszbein,,,"Fiszbein, "
FjellstromD,1983,,Sweden,Male,FjellstromD,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('FjellstromD', 1983, 'Sweden', 'Male', 'FjellstromD')",#VALUE!,FjellstromD,,,"FjellstromD, "
FjellstromM,1979,,Sweden,Male,FjellstromM,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('FjellstromM', 1979, 'Sweden', 'Male', 'FjellstromM')",#VALUE!,FjellstromM,,,"FjellstromM, "
Fleyshman,1913,1941,Russian Federation,Male,Fleyshman,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Fleyshman', 1913, 1941, 'Russian Federation', 'Male', 'Fleyshman')",#VALUE!,Fleyshman,,,"Fleyshman, "
Floros,1971,,Germany,Male,Floros,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Floros', 1971, 'Germany', 'Male', 'Floros')",#VALUE!,Floros,,,"Floros, "
Flotow,1812,1883,Germany,Male,Flotow Friedrich ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Flotow', 1812, 1883, 'Germany', 'Male', 'Flotow Friedrich ')",#VALUE!,Flotow,Friedrich,,"Flotow, Friedrich"
Floyd Carlisle,1926,,United States of America,Male,Floyd Carlisle Carlisle ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Floyd Carlisle', 1926, 'United States of America', 'Male', 'Floyd Carlisle Carlisle ')",#VALUE!,Floyd,Carlisle,Carlisle,"Floyd, Carlisle Carlisle"
FoersterA,1837,1926,Slovenia,Male,FoersterA,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('FoersterA', 1837, 1926, 'Slovenia', 'Male', 'FoersterA')",#VALUE!,FoersterA,,,"FoersterA, "
FoersterJ,1859,1951,Czech Republic,Male,FoersterJ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('FoersterJ', 1859, 1951, 'Czech Republic', 'Male', 'FoersterJ')",#VALUE!,FoersterJ,,,"FoersterJ, "
Fons,1943,,Spain,Male,Fons,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fons', 1943, 'Spain', 'Male', 'Fons')",#VALUE!,Fons,,,"Fons, "
Foroni,1825,1858,Italy,Male,Foroni Jacopo,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Foroni', 1825, 1858, 'Italy', 'Male', 'Foroni Jacopo')",#VALUE!,Foroni,Jacopo,,"Foroni, Jacopo"
Forte,1981,,Sierra Leone,Female,Forte,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Forte', 1981, 'Sierra Leone', 'Female', 'Forte')",#VALUE!,Forte,,,"Forte, "
Fortner,1907,1987,Germany,Male,Fortner Wolfgang,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Fortner', 1907, 1987, 'Germany', 'Male', 'Fortner Wolfgang')",#VALUE!,Fortner,Wolfgang,,"Fortner, Wolfgang"
Fortunato,1946,,Italy,Male,Fortunato,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fortunato', 1946, 'Italy', 'Male', 'Fortunato')",#VALUE!,Fortunato,,,"Fortunato, "
Foss,1922,2009,United States of America,Male,Foss,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Foss', 1922, 2009, 'United States of America', 'Male', 'Foss')",#VALUE!,Foss,,,"Foss, "
Fourgon,1968,,Belgium,Male,Fourgon,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fourgon', 1968, 'Belgium', 'Male', 'Fourgon')",#VALUE!,Fourgon,,,"Fourgon, "
Fox,1946,1997,United Kingdom,Male,Fox,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Fox', 1946, 1997, 'United Kingdom', 'Male', 'Fox')",#VALUE!,Fox,,,"Fox, "
Franceschini,1979,,Italy,Male,Franceschini Petronio,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Franceschini', 1979, 'Italy', 'Male', 'Franceschini Petronio')",#VALUE!,Franceschini,Petronio,,"Franceschini, Petronio"
Francesconi,1956,,Italy,Male,Francesconi,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Francesconi', 1956, 'Italy', 'Male', 'Francesconi')",#VALUE!,Francesconi,,,"Francesconi, "
Franck,1822,1890,France,Male,Franck C√©sar,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Franck', 1822, 1890, 'France', 'Male', 'Franck C√©sar')",#VALUE!,Franck,C√©sar,,"Franck, C√©sar"
Frandsen,1956,,Denmark,Male,Frandsen,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Frandsen', 1956, 'Denmark', 'Male', 'Frandsen')",#VALUE!,Frandsen,,,"Frandsen, "
Franz,1959,,Czech Republic,Male,Franz,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Franz', 1959, 'Czech Republic', 'Male', 'Franz')",#VALUE!,Franz,,,"Franz, "
Frid,1915,2012,Russian Federation,Male,Frid G√©za,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Frid', 1915, 2012, 'Russian Federation', 'Male', 'Frid G√©za')",#VALUE!,Frid,G√©za,,"Frid, G√©za"
Friml,1879,1972,United States of America,Male,Friml,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Friml', 1879, 1972, 'United States of America', 'Male', 'Friml')",#VALUE!,Friml,,,"Friml, "
Frisina,1954,,Italy,Male,Frisina,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Frisina', 1954, 'Italy', 'Male', 'Frisina')",#VALUE!,Frisina,,,"Frisina, "
Frost,1980,,Australia,Male,Frost,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Frost', 1980, 'Australia', 'Male', 'Frost')",#VALUE!,Frost,,,"Frost, "
Fujikura,1977,,Japan,Male,Fujikura,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Fujikura', 1977, 'Japan', 'Male', 'Fujikura')",#VALUE!,Fujikura,,,"Fujikura, "
Fulton Dwayne,,,United States of America,Male,Fulton Dwayne,"insert into composers (name, place_of_birth, gender, other_names) values ('Fulton Dwayne', 'United States of America', 'Male', 'Fulton Dwayne')",#VALUE!,Fulton,Dwayne,,"Fulton, Dwayne"
Furlani,1964,,Italy,Male,Furlani,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Furlani', 1964, 'Italy', 'Male', 'Furlani')",#VALUE!,Furlani,,,"Furlani, "
Furrer,1954,,Austria,Male,Furrer,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Furrer', 1954, 'Austria', 'Male', 'Furrer')",#VALUE!,Furrer,,,"Furrer, "
Gabriel,1881,1980,Italy,Male,Gabriel Charles H,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gabriel', 1881, 1980, 'Italy', 'Male', 'Gabriel Charles H')",#VALUE!,Gabriel,Charles,H,"Gabriel, Charles H"
Gagliano,1582,1643,Italy,Male,Gagliano Marco da,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gagliano', 1582, 1643, 'Italy', 'Male', 'Gagliano Marco da')",#VALUE!,Gagliano,Marco,da,"Gagliano, Marco da"
Gaier,1964,,Germany,Male,Gaier,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Gaier', 1964, 'Germany', 'Male', 'Gaier')",#VALUE!,Gaier,,,"Gaier, "
Gal,1890,1987,Austria,Male,Gal,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gal', 1890, 1987, 'Austria', 'Male', 'Gal')",#VALUE!,Gal,,,"Gal, "
Galante Carlo,1959,,Italy,Male,Galante Carlo,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Galante Carlo', 1959, 'Italy', 'Male', 'Galante Carlo')",#VALUE!,Galante,Carlo,,"Galante, Carlo"
Galindo,1985,,Spain,Female,Galindo,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Galindo', 1985, 'Spain', 'Female', 'Galindo')",#VALUE!,Galindo,,,"Galindo, "
Galuppi,1706,1784,Italy,Male,Galuppi Baldassare,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Galuppi', 1706, 1784, 'Italy', 'Male', 'Galuppi Baldassare')",#VALUE!,Galuppi,Baldassare,,"Galuppi, Baldassare"
Garcia-Gaucher Christian,,,Switzerland,Male,Garcia-Gaucher Christian,"insert into composers (name, place_of_birth, gender, other_names) values ('Garcia-Gaucher Christian', 'Switzerland', 'Male', 'Garcia-Gaucher Christian')",#VALUE!,Garcia-Gaucher,Christian,,"Garcia-Gaucher, Christian"
Garcia-Tomas,1984,,Spain,Female,Garcia-Tomas,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Garcia-Tomas', 1984, 'Spain', 'Female', 'Garcia-Tomas')",#VALUE!,Garcia-Tomas,,,"Garcia-Tomas, "
GarciaM,1775,1832,Spain,Male,GarciaM,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('GarciaM', 1775, 1832, 'Spain', 'Male', 'GarciaM')",#VALUE!,GarciaM,,,"GarciaM, "
Gardi,1760,1810,Italy,Male,Gardi Francesco,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gardi', 1760, 1810, 'Italy', 'Male', 'Gardi Francesco')",#VALUE!,Gardi,Francesco,,"Gardi, Francesco"
Gasparini,1661,1727,Italy,Male,Gasparini Francesco,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gasparini', 1661, 1727, 'Italy', 'Male', 'Gasparini Francesco')",#VALUE!,Gasparini,Francesco,,"Gasparini, Francesco"
Gasser,1964,,United States of America,Male,Gasser,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Gasser', 1964, 'United States of America', 'Male', 'Gasser')",#VALUE!,Gasser,,,"Gasser, "
Gassmann,1729,1774,Austria,Male,Gassmann Florian Leopold,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gassmann', 1729, 1774, 'Austria', 'Male', 'Gassmann Florian Leopold')",#VALUE!,Gassmann,Florian,Leopold,"Gassmann, Florian Leopold"
Gast,1854,1918,Germany,Male,Gast Peter ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Gast', 1854, 1918, 'Germany', 'Male', 'Gast Peter ')",#VALUE!,Gast,Peter,,"Gast, Peter"
