,composer,year_birth,year_death,place_birth,place_death,clean_name,c_birth
12787,"Kaslik, Václav",1917.0,1989.0,policná,praha,"Kaslik, Václav",Czechia
12794,"Kassern, Tadeusz (Zygfrid)",1904.0,1957.0,lvov,new,"Kassern, Tadeusz",79000
12798,"Kässmayer, Moritz",1831.0,1884.0,wien,wien,"Kässmayer, Moritz",Austria
12799,"Kastalski, Alexander (Dimitrievich)",1856.0,1926.0,moskva,moskva,"Kastalski, Alexander",Russia
12800,"Kastle, Leonard (Gregory)",,,,,"Kastle, Leonard",Thailand
12805,"Kastner, Jean-Georges [Johann Georg]",1810.0,1867.0,strasbourg,paris,"Kastner, Jean-Georges",France
12813,"Katski [de Kontski], Antoni [Antoine]",1817.0,1899.0,kraków,ivanichy,"Katski, Antoni",Poland
12815,"Kattnigg, Rudolf",1895.0,1955.0,oberdorf,klagenfurt,"Kattnigg, Rudolf",Switzerland
12821,"Katzer, Georg",1935.0,1935.0,habelschwerdt,habelschwerdt,"Katzer, Georg",Poland
12823,"Kauer, Ferdinand",1751.0,1831.0,dyákovice,wien,"Kauer, Ferdinand",
12842,"Kauffmann, Fritz",1855.0,1934.0,berlin,magdeburg,"Kauffmann, Fritz",Germany
12843,"Kauffmann, Leo Justinus",1901.0,1944.0,dammerkirch,strasbourg,"Kauffmann, Leo Justinus",France
12847,"Kaufmann, Walter",1907.0,1984.0,karlovy,bloomington,"Kaufmann, Walter",Czechia
12864,"Kaun, Hugo",1863.0,1932.0,berlin,berlin,"Kaun, Hugo",Germany
12868,"Kay, Ulysses (Simpson)",1917.0,1995.0,tucson,englewood,"Kay, Ulysses",USA
12873,"Kayser, Philipp Christoph",1755.0,1823.0,frankfurt,oberstrass,"Kayser, Philipp Christoph",Germany
12874,"Kazachenko, Grigori",1858.0,1938.0,st,leningrad,"Kazachenko, Grigori",USA
12876,"Kazanly, Nikolai (Ivanovich)",1869.0,1916.0,tiraspol,petrograd,"Kazanly, Nikolai",Moldova
12877,"Kazuro, Stanislaw",1881.0,1961.0,teklinapol,warszawa,"Kazuro, Stanislaw",
12879,"Kazynski, Wiktor",1812.0,1867.0,vilnius,st,"Kazynski, Wiktor",Lithuania
12883,"Kearns, William Henry",1794.0,1846.0,dublin,london,"Kearns, William Henry",Ireland
12884,"Keil, Alfredo",1850.0,1907.0,lisboa,hamburg,"Keil, Alfredo",Portugal
12890,"Keiser [Cesare], Reinhard [Renato]",1674.0,1739.0,teuchern,hamburg,"Keiser, Reinhard",Germany
12972,"Keldorfer, Robert",1901.0,1980.0,wien,klagenfurt,"Keldorfer, Robert",Austria
12973,"Kelemen, Milko",1924.0,1924.0,podrawska,podrawska,"Kelemen, Milko",
12976,"Keller, Walter",1873.0,1940.0,chicago,chicago,"Keller, Walter",USA
12978,"Kelley, Edgar Stillman",1857.0,1857.0,sparta,sparta,"Kelley, Edgar Stillman",Greece
12979,"Kellner, Johann Christoph",1736.0,1803.0,gräfenroda,kassel,"Kellner, Johann Christoph",Germany
12980,"Kelly, Bryan",1934.0,1934.0,oxford,oxford,"Kelly, Bryan",UK
12983,"Kelly, Michael",1762.0,1826.0,dublin,margate,"Kelly, Michael",Ireland
13045,"Kelly, Robert",1916.0,1916.0,clarksburg,clarksburg,"Kelly, Robert",USA
13047,"Kelterborn, Rudolf",1931.0,1931.0,basel,basel,"Kelterborn, Rudolf",Switzerland
13053,"Kemp, Joseph",1778.0,1824.0,exeter,london,"Kemp, Joseph",UK
13055,"Kenessey, Jenö",1905.0,1905.0,budapest,budapest,"Kenessey, Jenö",Hungary
13056,"Kepitis, Janis",1908.0,1990.0,trikata,,"Kepitis, Janis",Latvia
13058,"Kerker, Gustave Adolph",1857.0,1923.0,herford,new,"Kerker, Gustave Adolph",Germany
13063,"Kerpen, ",,,freiherr,freiherr,"Kerpen,",
13068,"Kerr, Harrison",1897.0,1978.0,cleveland,norman,"Kerr, Harrison",USA
13069,"Kersters, Willem",1929.0,1929.0,antwerpen,antwerpen,"Kersters, Willem",Belgium
13070,"Kessner, Daniel (Aaron)",1946.0,1946.0,los,los,"Kessner, Daniel",USA
13071,"Ketèlbey, Albert (William)",1875.0,1959.0,birmingham,cowes,"Ketèlbey, Albert",UK
13072,"Kettenus, Aloys",1823.0,1870.0,verviers,paris,"Kettenus, Aloys",Belgium
13073,"Ketting, Otto",1935.0,1935.0,amsterdam,amsterdam,"Ketting, Otto",Netherlands
13076,"Keurvels, Edward (Hubertus Joannes)",1853.0,1916.0,antwerpen,ekeren,"Keurvels, Edward",Belgium
13077,"Khachaturian, Karen (Surenovich)",1920.0,1920.0,moskva,moskva,"Khachaturian, Karen",Russia
13078,"Khodzha-Einatov, Leon",1904.0,1954.0,tbilisi,leningrad,"Khodzha-Einatov, Leon",Georgia
13082,"Kholminov, Alexander Nikolayevich",1925.0,1925.0,moskva,moskva,"Kholminov, Alexander Nikolayevich",Russia
13087,"Khrennikov, Tikhon Nikolayevich",1913.0,2007.0,elyets,moskva,"Khrennikov, Tikhon Nikolayevich",
13098,"Kienlen, Johann Christoph",1783.0,1829.0,ulm,dessau,"Kienlen, Johann Christoph",USA
