,composer,year_birth,year_death,place_birth,place_death,clean_name
16584,"Mesquita, Henrique Alves de",1836.0,1906.0,rio,rio,"Mesquita, Henrique Alves de"
16589,"Messager, André (Charles Prosper)",1853.0,1929.0,montluçon,paris,"Messager, André"
16612,"Messiaen, Olivier",1908.0,1992.0,avignon,paris,"Messiaen, Olivier"
16613,"Messner, Joseph",1893.0,1969.0,schwaz,st,"Messner, Joseph"
16617,"Mestres-Quadreny, Josep (Maria)",1929.0,1929.0,manresa,manresa,"Mestres-Quadreny, Josep"
16618,"Methfessel, Albert Gottlieb",1785.0,1869.0,stadtilm,heckenbeck,"Methfessel, Albert Gottlieb"
16619,"Métra, (Jules-Louis-)Olivier",1830.0,1889.0,le,paris,"Métra, Olivier"
16624,"Meulemans, Arthur",1884.0,1966.0,aarschot,etterbeck,"Meulemans, Arthur"
16627,"Meyer, Ernst Hermann",1905.0,1988.0,berlin,berlin,"Meyer, Ernst Hermann"
16628,"Meyer, Krzystof",1943.0,1943.0,kraków,kraków,"Meyer, Krzystof"
16629,"Meyer von Schauensee, Franz Joseph Leonti",1720.0,1789.0,luzern,luzern,"Meyer von Schauensee, Franz Joseph Leonti"
16635,"Meyer-Helmund, Erik",1861.0,1932.0,st,berlin,"Meyer-Helmund, Erik"
16642,"Meyer-Olbersleben, Max",1850.0,1927.0,olbersleben,würzburg,"Meyer-Olbersleben, Max"
16644,"Meyerbeer [Meyer Beer], Giacomo [Jakob Liebmann]",1791.0,1864.0,vogeldorf,paris,"Meyerbeer, Giacomo"
16668,"Meyerowitz, Jan [Hans-Hermann]",1913.0,1998.0,wroclaw,colmar,"Meyerowitz, Jan"
16676,"Meytus [Meitus], Yuly (Sergeyevich)",1903.0,1997.0,elizavetgrad,kiev,"Meytus, Yuly"
16694,"Mica [Micza, Mischa, Mitscha], Frantisek Adam [Jan Adam Frantisek de Paula]",1746.0,1811.0,jaromerice,lvov,"Mica, Frantisek Adam"
16696,"Mica [Micza, Mitscha], Frantisek Antonin (Václav)",1694.0,1744.0,trebic,jaromerice,"Mica, Frantisek Antonin"
16698,"Michaelides, Solon",1905.0,1979.0,nicosia,athinai,"Michaelides, Solon"
16700,"Micheelsen, Hans Friedrich",1902.0,1973.0,hennstedt,glüsing,"Micheelsen, Hans Friedrich"
16701,"Michel, Paul-Baudouin",1930.0,1930.0,haine,haine,"Michel, Paul-Baudouin"
16702,"Michelet [Levin], Michel",1894.0,1894.0,kiev,kiev,"Michelet, Michel"
16703,"Micheli, Benedetto",1700.0,1784.0,roma,,"Micheli, Benedetto"
16706,"Michl [Michelini], Joseph (Christian) Willibald",1745.0,1816.0,neumarkt,neumarkt,"Michl, Joseph Willibald"
16716,"Mifsud, Vincenzo Napoleone",1806.0,1870.0,malta,,"Mifsud, Vincenzo Napoleone"
16719,"Mignone, Francisco (Paulo)",1897.0,1986.0,são,rio,"Mignone, Francisco"
