opera_title	 opera_description	 date	 role	 artist	 url
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-29	Kseniya	Nadezhda Nesterova	https://novat.nsk.ru/en/afisha/performances/detail/732188/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-29	Conductor	Dmitri Jurowski	https://novat.nsk.ru/en/afisha/performances/detail/732188/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Frog	Olga Egudina	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Mouse	Olga Kolobova	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Rooster	Evgeniy Kozyrev	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Fox	Julia Nikiforova	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Bear	Shagdar Zonduev	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Wolf	Sergey Zakharov	https://novat.nsk.ru/en/afisha/performances/detail/737881/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-12-05	Conductor	Artyom Iyutin	https://novat.nsk.ru/en/afisha/performances/detail/737881/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Mimì	Irina Churilova	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Rodolfo	Vladimir Kuchin	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Marcello	Maxim Aniskin	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Schaunard	Valery Gordeev	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Colline	Andrey Triller	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Benoît	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Alcindoro	Konstantin Buinov	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Parpignol	Evgeniy Kozyrev	https://novat.nsk.ru/en/afisha/performances/detail/733151/
La Bohème	opera in two actsmusic by Giacomo Puccini 	2015-12-08	Un sargento de aduanas	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/733151/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Boris Godunov	Nikolay Loskutkin	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Pimen	Vladimir Ognev	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Vasiliy Shuysky	Jury Komov	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Grigoriy Otrepyev	Roman Zavadsky	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	The yuródivïy	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Andrey Shchelkalov	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Varlaam	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Misail	Victor Ditenbir	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Fyodor	Svetlana Tokareva	https://novat.nsk.ru/en/afisha/performances/detail/733155/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-12-10	Kseniya	Nadezhda Nesterova	https://novat.nsk.ru/en/afisha/performances/detail/733155/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Lamplighter	Karen Movsesyan	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Gerda	Irina Novikova	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Kay	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Grandmother	Olga Egudina	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Snow Queen	Olga Obukhova	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Bandits Leader	Nikolay Loskutkin	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Little Bandit	Olga Kolobova	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Reindeer	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Trolls	Victor Ditenbir	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Trolls	Andrey Triller	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Citizens, bandits	Evgeniy Kozyrev	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Citizens, bandits	Sergey Zakharov	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Citizens, bandits	Konstantin Buinov	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Conductor	Evgeny Volynsky	https://novat.nsk.ru/en/afisha/performances/detail/733159/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Gerda	Daria Shuvalova	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Kay	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Grandmother	Tatiana Gorbunova	https://novat.nsk.ru/en/afisha/performances/detail/733161/
